migration_rate,biotic_coeff,abiotic_coeff,fixed_interaction_mat,selection_coeff,correlated_div,modular_div,div_diff
0.0,0.1,2.0,6,0.12,2.609268357031264,2.5947964185979555,0.014471938433308296
0.0,5.0,0.1,3,0.5,0.06750999330640496,0.06564811780941317,0.0018618754969917939
0.0,0.1,0.0,1,0.5,0.06685226037880097,0.0677679065524279,-0.0009156461736269245
0.0,0.1,5.0,8,0.5,2.482200685243862,2.4611395091529027,0.021061176090959144
0.0,5.0,0.0,6,0.5,0.06644583365514643,0.06572455709261868,0.0007212765625277534
0.0,0.5,1.0,10,0.5,1.2546751936267098,1.7534651209066225,-0.4987899272799128
0.0,0.5,5.0,2,0.12,2.4501717814761563,2.4788757091130567,-0.028703927636900328
0.0,0.5,0.1,2,0.01,2.4469062872060783,2.447074857450572,-0.0001685702444937931
0.0,5.0,2.0,6,0.12,2.195309031261007,2.3210347233053796,-0.12572569204437256
0.0,0.5,1.0,8,0.12,2.3796824873217854,2.4310133838008983,-0.05133089647911282
0.0,2.0,0.0,10,0.12,2.304753403552093,2.1689007366525472,0.13585266689954567
0.0,5.0,0.1,4,0.5,0.06723401732627692,0.06995733062831526,-0.0027233133020383438
0.0,0.1,5.0,7,0.12,2.4917506547120643,2.566618990222478,-0.07486833551041361
0.0,0.0,2.0,8,0.5,2.584572119826101,2.587891884116628,-0.0033197642905267166
0.0,0.1,0.5,7,0.5,0.6596233598056133,0.13756358790413073,0.5220597719014826
0.0,5.0,2.0,1,0.12,2.423143266803976,2.223505652400985,0.19963761440299077
0.0,0.5,0.0,8,0.12,2.4016449657822254,2.370457570723401,0.031187395058824396
0.0,2.0,0.1,7,0.5,0.0716285373539993,0.06960807410876296,0.0020204632452363314
0.0,5.0,0.5,4,0.01,2.4851060022178424,2.4973086590527855,-0.012202656834943149
0.0,0.1,1.0,5,0.5,1.0891185356498494,1.0130643648677367,0.07605417078211274
0.0,0.0,0.0,7,0.5,2.5405357927829293,2.565257398999027,-0.024721606216097758
0.0,0.0,0.1,5,0.5,2.5740678534175023,2.5390227371374037,0.035045116280098654
0.0,0.1,5.0,8,0.12,2.5560478208566626,2.5660055167650064,-0.009957695908343833
0.1,0.1,0.0,10,0.12,2.224707810667628,2.512926414496762,-0.2882186038291339
0.1,0.0,0.0,2,0.12,2.585424700428249,2.5942515411164146,-0.008826840688165749
0.1,2.0,0.0,1,0.5,0.06775684104211227,0.06711388042791916,0.000642960614193111
