migration_rate,biotic_coeff,fixed_interaction_mat,abiotic_coeff,selection_coeff,diversity_index
0.1,1.0,9,5.0,0.12,2.4612105286143025
0.1,5.0,8,5.0,0.01,2.5293717742880033
0.1,2.0,5,2.0,0.5,1.592388951571211
0.1,1.0,4,5.0,0.12,2.4614191947933697
0.1,2.0,7,0.5,0.5,0.6614296672036883
0.1,0.0,7,0.0,0.01,2.5930456081820306
0.1,0.0,5,0.1,0.01,2.5884498101448323
0.1,0.0,9,0.0,0.12,2.591726857027549
0.1,0.1,6,5.0,0.5,2.542664836461195
0.1,0.0,8,1.0,0.01,2.588757608677906
0.1,2.0,1,0.0,0.12,2.309535750181199
0.1,0.1,2,2.0,0.5,2.09607189746743
0.1,0.0,4,0.0,0.12,2.593950332715807
0.1,2.0,8,0.1,0.01,2.1412887924663795
0.1,5.0,8,0.1,0.5,0.07009530808879916
0.1,0.5,3,0.1,0.12,2.3328565921586146
0.1,0.1,10,0.1,0.5,0.06671882053792098
0.1,1.0,7,0.5,0.01,2.4424943366813676
0.1,0.5,7,5.0,0.12,2.2391393326656917
0.1,0.5,1,1.0,0.12,2.4768018301038084
0.1,0.5,7,0.1,0.01,2.2452814737367093
0.1,0.5,7,0.5,0.5,0.2649937438025685
0.1,2.0,10,5.0,0.12,2.4605048401939493
0.1,1.0,4,0.5,0.12,2.5440053202619173
0.1,0.0,1,2.0,0.5,2.573434336153302
0.1,5.0,10,0.1,0.5,0.06591383745367457
0.1,1.0,5,0.0,0.01,2.2765561704207142
0.1,0.5,8,0.1,0.01,2.2182659337005908
0.1,0.0,1,1.0,0.5,2.5609257023440577
0.1,0.5,6,5.0,0.01,2.5587250395137096
0.1,5.0,2,0.0,0.5,0.06677823407097078
0.1,5.0,10,0.5,0.01,2.348259272617377
0.1,5.0,3,1.0,0.5,1.3747871259305817
0.1,0.0,2,0.1,0.12,2.5937779323524834
0.1,0.1,4,1.0,0.5,1.3746332559650092
0.1,0.1,5,5.0,0.5,2.4769979569476437
0.1,0.0,9,0.5,0.01,2.594384076387081
0.1,2.0,3,0.0,0.01,2.4156741420862384
0.1,2.0,9,1.0,0.01,2.2984335410453633
0.1,1.0,8,0.1,0.12,2.4436100340173694
0.1,1.0,10,0.5,0.01,2.5328123001456335
0.1,5.0,4,2.0,0.5,2.1136989639445907
0.1,0.1,2,0.0,0.12,2.4220270770743957
0.1,0.5,10,5.0,0.12,2.3068546418418863
0.1,5.0,9,1.0,0.5,1.3637569229957391
0.1,5.0,3,0.0,0.5,0.06698664959954606
0.1,5.0,1,5.0,0.12,2.429794461471984
0.1,1.0,3,1.0,0.5,1.7989071990785455
0.1,0.0,1,2.0,0.12,2.5944088481722365
0.1,0.5,5,1.0,0.12,2.360855210078866
0.1,0.5,10,0.5,0.5,0.2463468017695677
0.1,0.5,3,2.0,0.01,2.4706706720334437
0.1,0.1,4,0.0,0.5,0.0723520781385012
0.1,5.0,3,2.0,0.12,1.9958767604906524
0.1,0.0,6,0.0,0.12,2.588509570126399
0.1,0.5,3,1.0,0.01,2.4857618056220065
0.1,1.0,2,1.0,0.12,2.3033397416802726
0.1,5.0,7,2.0,0.01,2.40174814800883
0.1,5.0,9,2.0,0.12,2.2027296489922317
0.1,0.1,2,5.0,0.01,2.613544879701397
0.1,1.0,4,1.0,0.5,1.1767676599656356
0.1,2.0,2,5.0,0.5,2.550403768307649
0.1,0.1,8,1.0,0.01,2.537155494317843
0.1,1.0,2,0.0,0.12,2.134907237267687
0.1,5.0,7,1.0,0.01,2.478192607221237
0.1,5.0,9,1.0,0.12,2.1418318158969747
0.1,0.0,8,0.5,0.5,2.5637793150150534
