migration_rate,biotic_coeff,fixed_interaction_mat,abiotic_coeff,selection_coeff,diversity_index
0.1,0.1,6,1.0,0.5,1.3865711315915663
0.1,2.0,2,0.1,0.01,2.3806278078887195
0.1,0.0,6,0.1,0.5,2.5557175379609243
0.1,0.5,7,0.0,0.5,0.06653410384072383
0.1,0.0,5,0.0,0.12,2.595005640610098
0.1,1.0,3,5.0,0.01,2.5006126594916305
0.1,2.0,3,5.0,0.12,2.082868341237437
0.1,0.5,5,0.5,0.01,2.338192011333055
0.1,0.0,1,0.1,0.5,2.561834038438864
0.1,5.0,4,5.0,0.01,2.351743689485092
0.1,0.0,4,2.0,0.01,2.5911007225700975
0.1,5.0,1,2.0,0.5,1.9975837773428666
0.1,0.5,8,0.0,0.5,0.06915451712084801
0.1,0.1,6,2.0,0.12,2.5380269563653535
0.1,0.0,3,0.0,0.01,2.5940465650591737
0.1,5.0,3,0.1,0.5,0.06744668224527653
0.1,2.0,1,1.0,0.01,2.425450469203427
0.1,2.0,9,0.1,0.01,2.387283838372919
0.1,0.0,5,5.0,0.01,2.5934976004130386
0.1,5.0,3,0.5,0.01,2.3574691493664055
0.1,0.1,1,2.0,0.12,2.5793313954834396
0.1,0.0,6,0.1,0.12,2.5915314415182173
0.1,1.0,3,0.1,0.5,0.06644150661092073
0.1,5.0,6,2.0,0.12,2.4777631305413412
0.1,2.0,10,0.0,0.12,2.398916894155898
0.1,0.1,5,2.0,0.5,2.115299054762383
0.1,0.0,4,0.0,0.01,2.591329925894172
0.1,5.0,4,0.1,0.5,0.06735021457857165
0.1,0.1,6,0.0,0.12,2.3397832526082722
0.1,0.1,7,5.0,0.12,2.740911315671848
0.1,0.5,1,2.0,0.01,2.4675857429818477
0.1,0.0,1,0.1,0.12,2.5880277840594736
0.1,0.1,9,0.1,0.12,2.4219181819848408
0.1,5.0,6,1.0,0.12,2.2924871925716683
0.1,0.5,10,2.0,0.12,2.5777921498699667
0.1,1.0,2,0.1,0.12,2.316158755305072
0.1,0.5,8,0.0,0.12,2.3536729567616947
0.1,5.0,3,0.1,0.12,2.3163671982210574
0.1,0.0,5,0.1,0.5,2.554431388774121
0.1,0.1,1,0.0,0.12,2.5026245851677005
0.1,0.5,7,5.0,0.01,2.3925525338450653
0.1,0.5,9,5.0,0.12,2.5304205393103176
0.1,0.5,1,1.0,0.01,2.4934592163699927
0.1,2.0,9,0.5,0.12,2.438711974362947
0.1,5.0,7,0.1,0.01,2.355994765037712
0.1,0.0,5,0.5,0.01,2.5917538294213265
0.1,0.0,8,0.0,0.5,2.5235237553592635
0.1,0.5,1,0.0,0.01,2.4155581256979715
0.1,0.5,10,0.0,0.12,2.44591546366636
0.1,1.0,1,1.0,0.12,2.108865495602458
0.1,0.1,1,5.0,0.01,2.5210709164555962
0.1,0.1,10,0.1,0.01,2.5739187729905795
0.1,0.1,5,1.0,0.12,2.394198523508431
0.1,0.5,5,2.0,0.01,2.342635243733785
0.1,2.0,10,0.1,0.5,0.06636064422691577
0.1,0.0,10,0.0,0.5,2.5423375700562176
0.1,1.0,5,2.0,0.12,2.3135755437069427
0.1,2.0,6,0.1,0.01,2.4983121992786446
0.1,0.1,1,0.1,0.5,0.09527798289090016
0.1,0.1,3,0.0,0.01,2.5538925022724452
0.1,0.0,10,1.0,0.12,2.5879427483883584
0.1,1.0,2,1.0,0.01,2.2508902328777984
0.1,2.0,9,1.0,0.5,1.8959942044713523
0.1,1.0,5,1.0,0.12,2.2760271967055026
0.1,5.0,9,2.0,0.01,2.34727430298217
0.1,0.1,4,1.0,0.01,2.6281682560991513
0.1,0.1,5,5.0,0.01,2.723352314291176
0.1,5.0,1,0.1,0.5,0.06706204833368226
0.1,2.0,3,2.0,0.12,2.4898448648106104
0.1,0.0,4,0.5,0.5,2.555840448837811
0.1,2.0,5,5.0,0.5,2.3556205270247266
0.1,1.0,5,0.0,0.12,2.424646743502687
0.1,0.5,10,0.5,0.01,2.4405531175679394
0.1,0.1,4,0.0,0.01,2.699211763028767
0.1,1.0,6,0.5,0.01,2.439275416791206
0.1,2.0,3,1.0,0.12,2.49907445643989
0.1,0.5,3,1.0,0.5,1.3618329406121152
0.1,1.0,1,0.1,0.5,0.06953825802903883
0.1,5.0,4,1.0,0.01,1.970802074847593
0.1,1.0,4,2.0,0.01,2.4922640165858274
0.1,5.0,9,0.0,0.01,2.2768462739308526
0.1,5.0,6,0.1,0.12,2.4957515505619376
0.1,1.0,1,0.5,0.01,2.122217907773951
0.1,0.5,10,0.1,0.12,2.1918743832448273
0.1,5.0,8,2.0,0.5,2.1740073040654244
0.1,0.5,1,0.5,0.5,0.21540210442073146
0.1,0.5,3,2.0,0.12,2.4953365923669355
0.1,0.1,3,5.0,0.5,2.5717124458815372
0.1,0.5,5,5.0,0.5,2.246428636087102
0.1,2.0,7,0.0,0.01,2.3431297330701835
0.1,0.1,8,0.0,0.5,0.06741420295090453
0.1,0.0,8,0.5,0.01,2.5938964675985234
0.1,2.0,8,1.0,0.01,2.274921141850169
0.1,5.0,5,0.1,0.5,0.06581783230600395
0.1,0.1,7,1.0,0.12,2.6004933449468086
0.1,5.0,8,1.0,0.5,1.13624620969379
0.1,2.0,3,5.0,0.01,2.2188151706936203
0.1,0.1,10,1.0,0.5,1.5961856110628032
0.1,2.0,8,0.0,0.01,2.433643471691342
0.1,0.1,2,0.5,0.5,0.06818855927838471
0.1,0.1,7,0.0,0.12,2.3740399386432243
0.1,5.0,8,0.0,0.5,0.09205274678637487
0.1,0.1,4,5.0,0.5,2.491465275611622
0.1,1.0,8,1.0,0.5,0.969001236481807
0.1,0.5,3,0.0,0.12,2.4020358349131583
0.1,0.0,8,0.1,0.12,2.5899570764858075
0.1,0.1,10,0.0,0.5,0.06798526589561073
0.1,0.0,9,2.0,0.5,2.5861031531258964
